Part,Value,Device,Package,
,,,,
C1,22pF,C-0805,C0805,
C2,22pF,C-0805,C0805,
C6,0.1uf,C-USC0805,C0805@1,
C8,0.1uf,C-0805,C0805,
C10,0.1uf,C-0805,C0805,
C11,10uf,C-0805,C0805,
F1,FUSE-1206,FUSE-1206,F1206,
I2C-1,IIC,TWIG-4P-2.0'90D',4P-2.0-90D,Seeed
I2C-2,IIC,TWIG-4P-2.0'90D',4P-2.0-90D,Seeed
I2C-3,IIC,TWIG-4P-2.0'90D',4P-2.0-90D,Seeed
I2C-4,IIC,TWIG-4P-2.0'90D',4P-2.0-90D,Seeed
IC1,ATMEGA48/88/168/328-TQFP-AU,ATMEGA48/88/168/328-TQFP-AU,TQFP32-08,
J1,MICRO-USB-5P-340015001,MICRO-USB-5P-340015001,B-SMD-5P,
J2,AVR_SPI_PRG_62X3_LOCK,AVR_SPI_PRG_62X3_LOCK,2X3_LOCK,
J3,D2,TWIG-4P-2.0'90D',4P-2.0-90D,Seeed
J4,D4,TWIG-4P-2.0'90D',4P-2.0-90D,Seeed
J5,D3,TWIG-4P-2.0'90D',4P-2.0-90D,Seeed
J6,D6,TWIG-4P-2.0'90D',4P-2.0-90D,Seeed
J7,D5,TWIG-4P-2.0'90D',4P-2.0-90D,Seeed
J8,D8,TWIG-4P-2.0'90D',4P-2.0-90D,Seeed
J9,A0,TWIG-4P-2.0'90D',4P-2.0-90D,Seeed
J10,A1,TWIG-4P-2.0'90D',4P-2.0-90D,Seeed
J11,A2,TWIG-4P-2.0'90D',4P-2.0-90D,Seeed
J17,D7,TWIG-4P-2.0'90D',4P-2.0-90D,Seeed
K1,BUTTON-4P-3100010P1,BUTTON-4P-3100010P1,4P-SMD-6.0X6.0X5.0H,
PWR,GREEN,LED,LED0603,
Q1,MOSFET-N-044020001,MOSFET-N-044020001,SOT23,
Q2,MOSFET-N-044020001,MOSFET-N-044020001,SOT23,
Q3,MOSFET-N-044020001,MOSFET-N-044020001,SOT23,
R1,10k,RESISTOR0603-RES,603,
R2,1k,R-0603,R0603,
R3,1k,R-0603,R0603,
R4,10k,R-4R,R1206-8,
R5,10k,R-4R,R1206-8,
RST,RED,LED,LED0603,
SERIAL,D0,TWIG-4P-2.0'90D',4P-2.0-90D,Seeed
SERIAL2,D0,TWIG-4P-2.0'90D',4P-2.0-90D,Seeed
U$15,RASPBERRY-PI_REV1,,,
XTL1,16.00 MHZ,CRYSTALHC49S,HC49/S,
